English,Kannada
experience,ಅನುಭವ
score,ಅಂಕ
apple,ಸೇಬು
bought,ಕೊಂಡರು
led,ಎಲ್ ಇ ಡಿ
pitch,ಪಟ್ಟು
coat,ಕೋಟ್
mass,ಸಮೂಹ
card,ಚೀಟಿ
band,ಬಂಡಿ
rope,ಹಗ್ಗ
slip,ಜಾರಿಬೀಳಿಸು
win,ಜಯಿಸು
dream,ಕನಸು
evening,ಸಂಜೆ
condition,ಷರತ್ತು
feed,ಆಹಾರ
tool,ಉಪಕರಣ
total,ಒಟ್ಟು
basic,ಮೂಲಭೂತ
smell,ವಾಸನೆ
valley,ಕಣಿವೆ
nor,ಅಥವಾ
double,ದ್ವಂದ್ವ
seat,ಆಸನ
arrive,ಆಗಮಿಸು
master,ಯಜಮಾನ
track,ಟ್ರ್ಯಾಕ್
parent,ಪೋಷಕರು
shore,ತೀರ
division,ವಿಭಾಗ
sheet,ಹಾಳೆ
substance,ವಸ್ತು
favor,ಪರವಾಗಿ
connect,ಸಂಪರ್ಕ
post,ಚೂರುಚೂರು
spend,ಖರ್ಚು
chord,ಹೋಪು
fat,ಕೊಬ್ಬು
glad,ಸಂತೋಷ
original,ಮೂಲದ
share,ಹಂಚು
station,ನಿಲ್ದಾಣ
dad,ಅಪಹೇಳು
bread,ತ ೦ ತ್ರ
charge,ಶುಲ್ಕ
proper,ಸರಿಯಾದ
bar,ಗಡಿ
offer,ಅರ್ಪಿಸು
segment,ಭಾಗ
slave,ಗುಲಾಮ
duck,ಬಾತುಕೋಳಿ
instant,ತ್ವರಿತ
market,ಮಾರುಕಟ್ಟೆ
degree,ಪದ
populate,ಜನಸಂದಣಿ ಮಾಡು
chick,ಮರಿ
dear,ಪ್ರೀತಿಯ
enemy,ಶತ್ರು
reply,ಉತ್ತರ
drink,ಕುಡಿಯಿಸು
occur,ಸಂಭವಿಸು
support,ಬೆಂಬಲ
speech,ಮಾತು
nature,ಸ್ವಭಾವ
range,ವ್ಯಾಪ್ತಿ
steam,ಆವಿ
motion,ಚಲನೆ
path,ಹಾದಿಯಲ್ಲಿ
liquid,ದ್ರವ
log,ಬ ೦ ದಿಸು
meant,ಅರ್ಥ
quotient,ಭಾಗವಾದ
teeth,ಹಲ್ಲು
shell,ಹಚ್ಚೆ
neck,ಕುತ್ತಿಗೆ
